Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,175.000000,176.139999,174.089996,174.589996,166.779572,2709700
2017-05-02,174.910004,175.369995,170.270004,174.139999,166.349731,4951000
2017-05-03,173.750000,174.300003,171.860001,172.539993,164.821289,3622200
2017-05-04,173.050003,174.210007,172.380005,174.020004,166.235062,2585200
2017-05-05,174.539993,174.880005,173.309998,174.119995,166.330627,2189000
2017-05-08,173.929993,174.559998,173.570007,174.440002,166.636322,2505900
2017-05-09,174.100006,174.770004,172.729996,173.240005,165.489990,1653700
2017-05-10,173.039993,173.639999,172.460007,173.389999,165.633270,1568700
2017-05-11,172.759995,173.860001,171.669998,173.320007,165.566422,1901300
2017-05-12,172.639999,173.389999,171.520004,171.809998,164.123962,2335400
2017-05-15,171.789993,172.000000,170.229996,171.529999,163.856476,2831400
2017-05-16,170.669998,171.000000,167.250000,168.119995,160.599014,4343700
2017-05-17,168.119995,170.389999,166.649994,168.860001,161.305923,4442300
2017-05-18,168.250000,173.979996,167.869995,171.449997,163.780045,3908000
2017-05-19,172.300003,172.949997,170.250000,172.589996,164.869080,3877300
2017-05-22,172.729996,174.899994,172.600006,174.699997,166.884689,3480300
2017-05-23,174.440002,175.520004,173.710007,175.220001,167.381424,2471500
2017-05-24,175.449997,176.100006,174.520004,175.589996,167.734863,1612300
2017-05-25,176.320007,178.729996,175.940002,178.050003,170.084808,3212200
2017-05-26,177.679993,178.889999,177.000000,177.500000,169.559418,1583600
2017-05-30,177.539993,178.080002,176.240005,176.589996,168.690109,2285700
2017-05-31,176.889999,176.899994,174.919998,175.179993,167.343185,3320400
2017-06-01,175.779999,179.580002,175.190002,179.580002,171.546371,2890600
2017-06-02,179.919998,179.919998,178.339996,179.389999,171.364883,2610100
2017-06-05,179.529999,180.320007,179.160004,179.369995,171.345749,2640600
2017-06-06,179.190002,181.059998,178.479996,180.820007,172.730927,3443900
2017-06-07,182.000000,183.470001,179.649994,183.210007,175.013977,3783600
2017-06-08,183.210007,183.759995,180.979996,181.690002,173.561981,3079900
2017-06-09,181.839996,182.399994,180.860001,181.460007,173.342255,2392200
2017-06-12,181.460007,181.820007,176.419998,179.250000,171.231140,3705600
2017-06-13,179.210007,181.389999,179.149994,181.050003,172.950607,2458500
2017-06-14,180.940002,182.839996,180.940002,182.360001,174.202011,2039300
2017-06-15,181.750000,183.500000,180.089996,180.380005,173.022171,3078700
2017-06-16,180.830002,182.460007,180.380005,181.630005,174.221176,4473300
2017-06-19,182.300003,183.020004,180.759995,183.020004,175.554474,3887100
2017-06-20,182.750000,183.419998,182.220001,183.270004,175.794312,2742600
2017-06-21,183.490005,185.110001,182.710007,184.919998,177.376953,2866300
2017-06-22,184.899994,188.660004,184.779999,186.500000,178.892532,3841300
2017-06-23,186.270004,186.270004,184.139999,185.250000,177.693512,3438500
2017-06-26,185.130005,185.889999,183.389999,185.119995,177.568802,2327400
2017-06-27,185.720001,186.800003,184.220001,184.600006,177.070038,2682800
2017-06-28,185.679993,186.309998,185.089996,185.699997,178.125153,2451200
2017-06-29,185.820007,186.089996,184.330002,185.270004,177.712723,2193600
2017-06-30,185.149994,186.190002,184.929993,185.419998,177.856567,2392000
2017-07-03,186.289993,187.529999,185.740005,186.649994,179.036423,2087000
2017-07-05,186.139999,188.360001,185.720001,188.250000,180.571152,2587400
2017-07-06,188.119995,188.190002,186.149994,186.940002,179.314590,1844700
2017-07-07,187.350006,188.429993,187.009995,187.960007,180.292969,2252500
2017-07-10,187.330002,188.000000,186.149994,186.949997,179.324158,2612000
2017-07-11,187.000000,187.660004,185.089996,185.949997,178.364960,2664500
2017-07-12,186.789993,187.300003,186.410004,186.690002,179.074799,3342800
2017-07-13,187.000000,187.279999,185.320007,185.479996,177.914139,2379300
2017-07-14,185.809998,187.130005,184.770004,186.899994,179.276184,2716700
2017-07-17,187.070007,187.250000,185.759995,186.350006,178.748642,2444600
2017-07-18,186.949997,187.199997,183.860001,186.850006,179.228271,4235800
2017-07-19,187.509995,189.410004,187.509995,189.190002,181.472824,3401600
2017-07-20,189.410004,191.919998,188.919998,191.500000,183.688583,3099600
2017-07-21,191.380005,193.000000,190.600006,191.779999,183.957153,4911500
2017-07-24,191.789993,192.169998,190.639999,190.889999,183.103455,2356500
2017-07-25,192.130005,192.479996,190.300003,190.399994,182.633453,1960100
2017-07-26,190.020004,191.529999,189.380005,190.750000,182.969177,2683500
2017-07-27,190.240005,190.490005,188.460007,188.929993,181.223404,2631400
2017-07-28,189.110001,191.240005,187.600006,191.149994,183.352844,1925000
2017-07-31,191.589996,192.610001,191.139999,191.809998,183.985916,3767100
2017-08-01,193.399994,193.399994,191.619995,192.229996,184.388779,3336800
